"firstname","lastname","employeenumber","attrition","jobdirect","joblevel","numcompaniesworked","totalworkingyears","yearsatcompany","yearsincurrentrole","yearssincelastpromotion","yearswithcurrmanager","jobtitle"
"Dirk","Dunan",1,True,"Marketing","1",8,8,6,4,0,5,NULL
"Sibylle","Grouen",2,False,"IT","1",1,10,10,7,1,7,NULL
"Archibald","Cavet",4,True,"IT","1",6,7,0,0,0,0,"IT Operation Big Data Analyst"
"Winny","Rollins",5,False,"IT","1",1,8,8,7,3,0,"IT Security Internal Network"
"Dre","Natte",7,False,"IT","1",9,6,2,2,2,2,"IT Security Internal Auditor"
"Hermine","Hulland",8,False,"IT","1",0,8,7,7,3,6,"IT Security Internal Network"
"Rania","Chitter",10,False,"IT","1",4,12,1,0,0,0,"IT Operation Infrastructure Analyst"
"Cory","Streather",11,False,"IT","1",1,1,1,0,0,0,"IT Operation Infrastructure Support"
"Purcell","Leppington",12,False,"IT","1",0,10,9,7,1,8,"IT Planning People Innovation"
"Maribel","Elger",13,False,"Marketing","1",6,17,7,7,7,7,"Marketing B2C Content Analyst"
"Glory","Crofts",14,False,"IT","1",0,6,5,4,0,3,"IT Operation Infrastructure Consultant"
"Kata","Parman",15,False,"IT","1",0,10,9,5,0,8,"IT Security External Auditor"
"Kylila","Kopps",16,False,"IT","1",1,5,5,2,4,3,"IT Security Internal Network"
"Colette","Pendre",18,False,"IT","1",0,3,2,2,1,2,"IT Operation Infrastructure Analyst"
"Adoree","Valois",19,True,"IT","1",5,6,4,2,0,3,"IT Operation Big Data Consultant"
"Genny","McVanamy",20,False,"IT","1",1,10,10,9,8,8,"IT Planning People Innovation"
"Lionel","Gridley",21,False,"IT","1",0,7,6,2,0,5,"IT Security Internal Analyst"
"Junia","Piscot",22,False,"IT","1",1,1,1,0,0,0,"IT Security Internal Network"
"Mohandas","Pullar",23,False,"Marketing","1",2,31,25,8,3,7,"Marketing B2C Content Analyst"
"Shalna","Lokier",24,False,"IT","1",5,6,3,2,1,2,"IT Security External Auditor"
"Uta","Musgrove",26,False,"IT","1",0,5,4,2,1,3,"IT Security External Auditor"
"Jo ann","Thurstance",27,True,"Marketing","1",7,10,5,3,0,3,"Marketing B2C Content Analyst"
"Lamar","Studdard",28,False,"IT","1",0,13,12,6,2,11,"IT Planning Product Innovation"
"Alexis","Varney",30,False,"IT","1",1,0,0,0,0,0,"IT Operation Big Data Consultant"
"Kerrin","De Angelis",31,True,"IT","1",2,8,4,2,1,3,"IT Security Internal Network"
"Hendrika","Humblestone",32,False,"IT","1",4,26,14,13,4,8,"IT Planning Product Assessment"
"Petr","Carmont",33,True,"IT","1",1,10,10,2,6,7,"IT Security External Auditor"
"Kaylyn","Lisamore",35,False,"Marketing","1",0,10,9,7,4,2,"Marketing B2C Content Analyst"
"Laney","Santon",36,False,"Marketing","1",3,24,22,6,5,17,"Marketing B2C Content Analyst"
"Giusto","Pickin",38,False,"Marketing","2",3,22,2,2,2,1,"Marketing B2B Company Finance"
"Trevar","Fidler",39,False,"IT","1",4,7,1,1,0,0,"IT Operation Infrastructure Consultant"
"Phaedra","Siggee",40,False,"Marketing","1",2,9,4,2,1,3,"Marketing B2C Content Analyst"
"Addi","Gorler",41,False,"IT","1",1,10,10,0,1,8,"IT Operation Big Data Analyst"
"Cord","Gonet",42,True,"Marketing","1",3,19,1,0,0,0,"Marketing B2C Content Analyst"
"Gregory","Loker",45,True,"IT","1",2,6,2,0,2,0,"IT Operation Big Data Support"
"Amble","Kennedy",46,False,"IT","1",1,6,5,3,1,4,"IT Operation Infrastructure Analyst"
"Rik","Crossley",47,True,"Marketing","1",1,3,3,2,0,2,"Marketing B2C Content Analyst"
"Coreen","Mallison",49,False,"Marketing","1",1,2,2,2,2,2,"Marketing B2C Content Analyst"
"Nariko","Hullot",51,False,"IT","1",9,6,1,1,0,0,"IT Security Internal Analyst"
"Kirstin","Catherine",52,False,"Marketing","1",2,10,5,3,1,3,"Marketing B2C Content Analyst"
"Krissy","Pigny",53,False,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Consultant"
"Adena","Dugood",54,False,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Support"
"Francoise","Markos",55,True,"IT","1",1,1,1,0,0,1,"IT Operation Big Data Support"
"Barbey","Zanneli",56,False,"Marketing","1",1,9,9,8,1,7,"Marketing B2C Content Analyst"
"Melvyn","Smaridge",57,False,"IT","1",1,12,12,8,3,7,"IT Security External Auditor"
"Dayle","Brach",58,True,"IT","2",1,23,22,15,15,8,"IT Operation Infrastructure Consultant"
"Pippo","Derill",60,False,"Marketing","1",0,10,9,5,8,7,"Marketing B2C Content Analyst"
"Sol","Djurevic",61,False,"IT","1",4,8,1,0,0,0,"IT Security Internal Network"
